phase,race_id,horse_id,horse_name,actual_rank,target,odds,win_odds,popularity,date,ranker_score,bt_strength,pl_strength,ranker_win_probability,bt_win_probability,pl_win_probability
calibration,2025-0802-01-01-03-11,2018106314,エープラス,1,1,416.0,41.599998474121094,12,2025-08-02 00:00:00,-0.9287129735608919,0.17692092621039268,0.07751632789902851,0.0199848269383192,0.026125796435051,0.026727824453255954
calibration,2025-0802-01-01-03-11,2019101612,アスクオンディープ,15,0,1982.0,198.1999969482422,16,2025-08-02 00:00:00,-1.416288707517007,-0.7437934218023978,-0.5820324866058142,0.01126110577839826,0.007011958046394527,0.007146391243671303
calibration,2025-0802-01-01-03-11,2019105462,ソリダリティ,7,0,121.0,12.100000381469727,8,2025-08-02 00:00:00,0.27431974945855747,0.9735727613353031,0.5946153565547583,0.08229463752161084,0.08153213569622174,0.07518134996762439
calibration,2025-0802-01-01-03-11,2019107025,クレバーテースト,14,0,550.0,55.0,14,2025-08-02 00:00:00,-1.2593370340544867,-0.1282774957425472,-0.2927547748267136,0.013544815438121834,0.016893441162820766,0.01274530453084036
calibration,2025-0802-01-01-03-11,2020100809,アマイ,6,0,405.0,40.5,11,2025-08-02 00:00:00,-0.2622524447992331,0.17547009187417284,0.23520951510798074,0.04377419737885593,0.026071703650565787,0.036638203648887535
calibration,2025-0802-01-01-03-11,2020103009,フェステスバント,11,0,285.0,28.5,10,2025-08-02 00:00:00,-0.3115098213115367,0.4940361506967962,0.2263599170993007,0.041309590484675585,0.0410974035129338,0.035995441863489304
calibration,2025-0802-01-01-03-11,2020103279,ショーモン,16,0,1706.0,170.60000610351562,15,2025-08-02 00:00:00,-1.4949291818970687,-0.32621658045581936,-0.48850574538671654,0.0102659913018204,0.012732468791787584,0.00861634508383265
calibration,2025-0802-01-01-03-11,2020103920,フェミナフォルテ,8,0,438.0,43.79999923706055,13,2025-08-02 00:00:00,-1.2185141070674201,0.26594545757462773,0.08010130525915662,0.014211206202106438,0.029668951570288166,0.026866363908226432
calibration,2025-0802-01-01-03-11,2020106667,サトノクローク,12,0,217.0,21.700000762939453,9,2025-08-02 00:00:00,0.40909143556852984,1.2375172081483485,0.8687806421976987,0.09643419635625564,0.11887359967650926,0.13009094278125963
calibration,2025-0802-01-01-03-11,2021100789,ハニーコム,2,0,97.0,9.699999809265137,4,2025-08-02 00:00:00,0.4365033316371528,1.1534031611489717,0.9051451533161579,0.09959482069575622,0.10541424899895083,0.13990488347645752
calibration,2025-0802-01-01-03-11,2021101724,ガジュノリ,10,0,97.0,9.699999809265137,3,2025-08-02 00:00:00,0.6311955766549179,1.3422936948526736,0.8140623405583952,0.1252309787560195,0.1380673260741804,0.11660558393729002
calibration,2025-0802-01-01-03-11,2021102246,テーオーダグラス,3,0,103.0,10.300000190734863,5,2025-08-02 00:00:00,0.39175341370578504,1.2920823737018754,0.8597780878207495,0.09448708891425409,0.12851054683487614,0.12776960191738734
