race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0704-02-01-07-05,3,4,ダマスク,ロゼハイスクール,0.12868497496060682,0.12868497496060682,0.0,1.0,3,9.671780928335599,9.671780928335599,0
2026-0704-02-01-07-05,4,5,ロゼハイスクール,ヴァイタリズム,0.12868497496060682,0.12868497496060682,0.0,1.0,4,9.671780928335599,9.671780928335599,0
2026-0704-02-01-07-06,1,2,レッドフロイデ,ブレイズランナー,0.2854593083356183,0.1563658241173895,0.12909348421822878,1.8255863130380308,1,98.83472518935716,98.83472518935716,1
2026-0704-02-01-07-06,2,3,ブレイズランナー,メイショウセンドウ,0.1563658241173895,0.10765668172730261,0.04870914239008689,1.4524488550879593,2,91.61002136337153,91.61002136337153,1
2026-0704-02-01-07-06,3,4,メイショウセンドウ,ストリートクイーン,0.10765668172730261,0.08573744906314536,0.021919232664157254,1.2556552930331972,3,79.74363954165857,79.74363954165857,0
2026-0704-02-01-07-06,4,5,ストリートクイーン,シュヴェスター,0.08573744906314536,0.08072155723041592,0.0050158918327294355,1.0621381946140087,4,44.68828898815304,44.68828898815304,0
2026-0704-02-01-07-06,5,6,シュヴェスター,ララニューディー,0.08072155723041592,0.0745612745169186,0.00616028271349732,1.0826204052091344,5,49.44649446494465,49.44649446494465,0
2026-0704-02-01-07-06,6,7,ララニューディー,クラン,0.0745612745169186,0.07198651992823264,0.0025747545886859596,1.0357671768443992,6,31.28762866576034,31.28762866576034,0
2026-0704-02-01-07-06,7,8,クラン,チャーチルデュース,0.07198651992823264,0.049282216886295374,0.022704303041937268,1.4606997102894328,7,80.40396193435619,80.40396193435619,0
2026-0704-02-01-07-06,8,9,チャーチルデュース,トルークマクト,0.049282216886295374,0.048663649591873685,0.0006185672944216888,1.0127110748907946,8,16.236162361623617,16.236162361623617,0
2026-0704-02-01-07-06,9,10,トルークマクト,フェンリル,0.048663649591873685,0.02091624762437242,0.027747401967501265,2.3265955952428543,9,83.78325888522043,83.78325888522043,0
2026-0704-02-01-07-06,10,11,フェンリル,ブリリアンス,0.02091624762437242,0.020425126504675973,0.0004911211196964478,1.0240449487342962,10,14.798990095164111,14.798990095164111,0
2026-0704-02-01-07-06,11,12,ブリリアンス,ステキサプライズ,0.020425126504675973,0.017209390331273562,0.0032157361734024108,1.1868593896414013,11,35.01650805981744,35.01650805981744,0
2026-0704-02-01-07-06,12,13,ステキサプライズ,ライヴマルガリータ,0.017209390331273562,0.01276392722690147,0.004445463104372093,1.3482833320298755,12,41.85278694892212,41.85278694892212,0
2026-0704-02-01-07-07,1,2,デルマリシリ,メイショウハッケイ,0.41498549568149495,0.2494502075659503,0.16553528811554466,1.6636005226485129,1,99.61157506311905,99.61157506311905,1
2026-0704-02-01-07-07,2,3,メイショウハッケイ,ツルノマイハシ,0.2494502075659503,0.22940777441642732,0.020042433149522976,1.0873659717963238,2,78.1122548067586,78.1122548067586,0
2026-0704-02-01-07-07,3,4,ツルノマイハシ,ルージュナリッシュ,0.22940777441642732,0.0900889372664574,0.1393188371499699,2.5464588813819002,3,99.18430763255,99.18430763255,1
2026-0704-02-01-07-07,4,5,ルージュナリッシュ,ライトニングロッド,0.0900889372664574,0.08658384308167344,0.003505094184783966,1.0404820814141693,4,36.78384152262576,36.78384152262576,0
2026-0704-02-01-07-07,5,6,ライトニングロッド,ストレイトアスク,0.08658384308167344,0.08589333025440378,0.0006905128272696598,1.0080391902982975,5,16.85764226063313,16.85764226063313,0
2026-0704-02-01-07-07,6,7,ストレイトアスク,ジュジュドール,0.08589333025440378,0.031879592002197935,0.054013738252205845,2.6943045647661323,6,92.67818993979414,92.67818993979414,1
2026-0704-02-01-07-07,7,8,ジュジュドール,キミノナハオリョウ,0.031879592002197935,0.02956993553928986,0.002309656462908073,1.0781082684417491,7,29.170712759759176,29.170712759759176,0
2026-0704-02-01-07-07,8,9,キミノナハオリョウ,アルバニー,0.02956993553928986,0.028658638661903307,0.0009112968773865547,1.0317983309722931,8,18.586133229753347,18.586133229753347,0
2026-0704-02-01-07-07,9,10,アルバニー,ココソラーレ,0.028658638661903307,0.014605978852209487,0.01405265980969382,1.9621169489484804,9,70.09127986016702,70.09127986016702,0
2026-0704-02-01-07-08,1,2,バズアップビート,ダノンヒストリー,0.2275963531659418,0.22285710850417412,0.004739244661767672,1.0212658447090948,1,43.309380462225676,43.309380462225676,0
