race_id,anchor,opponent_cluster,opponent_count,quinella_tickets,quinella_hit,quinella_stake,quinella_return,quinella_roi,exacta_tickets,exacta_hit,exacta_stake,exacta_return,exacta_roi,wide_tickets,wide_stake,wide_return,wide_roi
2026-0705-10-02-04-01,モズナイスバディー,ストラクチャー/ボールドハーテッド/リッケンバッカー/メイショウブレゲ/スペルキャスター/ホウオウスターツ/ルルフィーユ,7,7,0,700,0.0,0.0,7,0,700,0.0,0.0,7,700,0.0,0.0
2026-0705-10-02-04-02,ユイノジカンカセギ,グレートキリシマ/ヘキレキ,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0705-10-02-04-03,ティタノマキア,メイショウコハル/ウィスカーパッド,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0705-10-02-04-04,サトノロザリー,ファイアプレイス,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0705-10-02-04-07,パトローナス,トウカイジーク/ドラムメジャー/サウンドヴィヴァン/ファイティンアスク/タワーオブバベル/ルルハート/ナムラオットー/ファーストアタック/ケイアイブラック/ベルフィーノ/キャンディーズ/アッセクシー/グロリアスニケ/ホッコームジカ/メイショウジーニー,15,15,0,1500,0.0,0.0,15,0,1500,0.0,0.0,15,1500,0.0,0.0
2026-0705-10-02-04-08,シンドリームシン,ラマヌジャン/アスタールテニウム,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0705-10-02-04-09,ダークマルス,アクロフェイズ,1,1,1,100,190.0,190.0,1,0,100,0.0,0.0,1,100,120.0,120.0
2026-0705-10-02-04-11,デアヴェローチェ,サウンドモリアーナ/フリッカージャブ,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0705-10-02-04-12,システマソラー,タイセイジェイド,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0711-02-01-09-01,クラウスーラ,ウメヒナタ/ワイドウィンザー,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,230.0,114.99999999999999
2026-0711-02-01-09-02,サラサチャチャチャ,ジーティービキニ/ブエノスオプティマ/メリオルヴィア/マーゴットクリュグ/ワンダーアスク/フレンチブラッサム/タガノシルフィー/シルフ/コイバナ/チカマヨルキーナ/サマースプラッシュ/ベッラモレーン,12,12,1,1200,1810.0,150.83333333333334,12,1,1200,4190.0,349.1666666666667,12,1200,1870.0,155.83333333333334
2026-0711-02-01-09-03,アルサック,クリオロゴールド/テンユウ/ハッピーローヴァー/ルージュフローラ,4,4,0,400,0.0,0.0,4,0,400,0.0,0.0,4,400,0.0,0.0
2026-0711-02-01-09-04,アーデルブリックス,マンサニージャ/エグジスタンス/ケナゲ/コスモクラシック/ヘクセンハウス/インフィオラータ,6,6,0,600,0.0,0.0,6,0,600,0.0,0.0,6,600,0.0,0.0
2026-0711-02-01-09-06,チリンドリ,ライトアファイア/ゲレイロ/ヤマメイッカ/シンエンドーツダ/ミスチヴマリアンヌ,5,5,1,500,690.0,138.0,5,1,500,1110.0,222.00000000000003,5,500,730.0,146.0
2026-0711-02-01-09-07,ターンザテーブルス,アイドクレース,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
