race_id,rank,horse_id,horse_name,prediction_score,cluster_id,cluster_size,is_anchor,is_primary_opponent,gap_before,gap_after
2026-0712-03-02-06-11,14,2019104658,ボーンディスウェイ,0.025885382914444015,1,16,0,0,0.0034593667390893264,0.013280927695556225
2026-0712-03-02-06-11,15,2019104756,オニャンコポン,0.01260445521888779,1,16,0,0,0.013280927695556225,0.004418507781713835
2026-0712-03-02-06-11,16,2019104998,ショウナンマグマ,0.008185947437173956,1,16,0,0,0.004418507781713835,0
2026-0712-03-02-06-12,1,2022102716,サンマルノヴェル,0.1860208709854342,1,1,1,0,0,0.05012584392935862
2026-0712-03-02-06-12,2,2022110132,ピコテンダー,0.1358950270560756,2,1,0,1,0.05012584392935862,0.07229946825900667
2026-0712-03-02-06-12,3,2021102259,クリノオリーブ,0.06359555879706892,3,13,0,0,0.07229946825900667,0.008371724124990224
2026-0712-03-02-06-12,4,2021105976,ローマンレイク,0.0552238346720787,3,13,0,0,0.008371724124990224,0.002127540437205387
2026-0712-03-02-06-12,5,2022106243,サヨノジャンボリー,0.05309629423487331,3,13,0,0,0.002127540437205387,0.000740702874237685
2026-0712-03-02-06-12,6,2021105753,フェンダー,0.052355591360635625,3,13,0,0,0.000740702874237685,0.003013372797696902
2026-0712-03-02-06-12,7,2021101015,スーパーバイザー,0.049342218562938724,3,13,0,0,0.003013372797696902,0.009765417499593122
2026-0712-03-02-06-12,8,2019105041,ホウオウプレミア,0.0395768010633456,3,13,0,0,0.009765417499593122,0.0006411057556329688
2026-0712-03-02-06-12,9,2021102458,ホーリーブライト,0.03893569530771263,3,13,0,0,0.0006411057556329688,0.004664829873900898
2026-0712-03-02-06-12,10,2021102406,レイワサンサン,0.034270865433811734,3,13,0,0,0.004664829873900898,0.007383998811557529
2026-0712-03-02-06-12,11,2022103924,ショウナンラリー,0.026886866622254205,3,13,0,0,0.007383998811557529,0.0006223833412159901
2026-0712-03-02-06-12,12,2022102785,ラーナローザ,0.026264483281038215,3,13,0,0,0.0006223833412159901,0.0069220416354424524
2026-0712-03-02-06-12,13,2020103937,ラヴァグロウ,0.019342441645595763,3,13,0,0,0.0069220416354424524,0.0008440243840874967
2026-0712-03-02-06-12,14,2021101219,マフィン,0.018498417261508266,3,13,0,0,0.0008440243840874967,0.0013027449777907943
2026-0712-03-02-06-12,15,2022101959,ペプチドクレマチス,0.017195672283717472,3,13,0,0,0.0013027449777907943,0
2026-0712-10-02-06-01,1,2023102145,ホーリーステップ,0.1540088388659,1,17,1,0,0,0.03745892381431043
2026-0712-10-02-06-01,2,2023103353,シャンデリュイーズ,0.11654991505158957,1,17,0,0,0.03745892381431043,0.027378190868413962
2026-0712-10-02-06-01,3,2023104994,ティグリス,0.08917172418317561,1,17,0,0,0.027378190868413962,0.011857840284179605
2026-0712-10-02-06-01,4,2023104374,ブライトエンジェル,0.077313883898996,1,17,0,0,0.011857840284179605,0.011685650950125873
2026-0712-10-02-06-01,5,2023106464,フルフィルメント,0.06562823294887013,1,17,0,0,0.011685650950125873,0.00842347009561753
2026-0712-10-02-06-01,6,2023109072,ベルセクレト,0.0572047628532526,1,17,0,0,0.00842347009561753,0.013123619296642006
2026-0712-10-02-06-01,7,2023103381,ドゥボヌール,0.044081143556610594,1,17,0,0,0.013123619296642006,0.0007145722354078843
2026-0712-10-02-06-01,8,2023100973,コースタルロード,0.04336657132120271,1,17,0,0,0.0007145722354078843,0.005911058744455057
2026-0712-10-02-06-01,9,2023105692,ハクサンテドリガワ,0.03745551257674765,1,17,0,0,0.005911058744455057,0.007824812991698338
2026-0712-10-02-06-01,10,2023100490,ピンクパンサー,0.029630699585049314,1,17,0,0,0.007824812991698338,0.004041491445737611
2026-0712-10-02-06-01,11,2023102063,アリディプラチノ,0.025589208139311703,1,17,0,0,0.004041491445737611,0.013725832403045552
2026-0712-10-02-06-01,12,2023103978,ヨウリンケイジュ,0.011863375736266151,1,17,0,0,0.013725832403045552,0.002620262644316331
2026-0712-10-02-06-01,13,2023106792,ロージーキャンドル,0.00924311309194982,1,17,0,0,0.002620262644316331,0.0015934936051620685
2026-0712-10-02-06-01,14,2023104345,マルモズイルバア,0.0076496194867877515,1,17,0,0,0.0015934936051620685,0.0004730349003664921
2026-0712-10-02-06-01,15,2023103436,テンタイムトップ,0.007176584586421259,1,17,0,0,0.0004730349003664921,0.00015886740007253763
2026-0712-10-02-06-01,16,2023104381,ビケイムフリー,0.007017717186348722,1,17,0,0,0.00015886740007253763,0.00020906820820543962
2026-0712-10-02-06-01,17,2023102232,リザレクティア,0.006808648978143282,1,17,0,0,0.00020906820820543962,0
2026-0712-10-02-06-02,1,2023104326,タガノプディング,0.2963144406276246,1,1,1,0,0,0.08300756223490019
2026-0712-10-02-06-02,2,2023101500,クロカミジョウ,0.21330687839272439,2,1,0,1,0.08300756223490019,0.045686616932428564
2026-0712-10-02-06-02,3,2023103810,キャッチアシーフ,0.16762026146029582,3,2,0,0,0.045686616932428564,0.008302879737361879
2026-0712-10-02-06-02,4,2023100598,キタノプレミアム,0.15931738172293394,3,2,0,0,0.008302879737361879,0.05983081382522025
2026-0712-10-02-06-02,5,2023104377,ナブッコ,0.09948656789771369,4,10,0,0,0.05983081382522025,0.040295319088974914
2026-0712-10-02-06-02,6,2023101317,ラインメテオラ,0.05919124880873878,4,10,0,0,0.040295319088974914,0.02300084767621273
2026-0712-10-02-06-02,7,2023104612,ゼンノトヨタマヒメ,0.03619040113252605,4,10,0,0,0.02300084767621273,0.0010544314942148095
2026-0712-10-02-06-02,8,2023106339,ペコリズム,0.03513596963831124,4,10,0,0,0.0010544314942148095,0.012434381350757698
