race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0719-02-01-12-06,1,2,マメーアップル,ソワンドヴィクター,0.22554154842275023,0.12882715960854613,0.0967143888142041,1.7507298081249343,1,97.28102544183336,97.28102544183336,1
2026-0719-02-01-12-07,7,8,ジーティーアリア,クッカユフラ,0.1100588446863444,0.06008951091421899,0.04996933377212541,1.831581635661161,7,91.92076131287628,91.92076131287628,1
2026-0719-02-01-12-08,6,7,イングラム,メイショウハッブル,0.1574413915875065,0.07201470755417493,0.08542668403333158,2.1862394076802594,6,96.58186055544766,96.58186055544766,1
2026-0719-02-01-12-09,1,2,モンローウォーク,アストリル,0.2634977409713411,0.2086453910540041,0.05485234991733701,1.2628974914818007,1,92.83355991454651,92.83355991454651,1
2026-0719-02-01-12-09,3,4,レーヴドロペラ,マドモアゼルアスク,0.1671112263573127,0.08752224022832934,0.07958898612898337,1.9093572778913155,3,96.13517187803457,96.13517187803457,1
2026-0719-02-01-12-10,1,2,シーズザスローン,ウインシャーガス,0.23709875246955794,0.18746501583886566,0.04963373663069229,1.2647626620283896,1,91.84307632550009,91.84307632550009,1
2026-0719-02-01-12-12,2,3,マグネシアブリック,ロードクラシコ,0.152508752473043,0.08308604225213119,0.0694227102209118,1.8355520173923205,2,94.7174208584191,94.7174208584191,1
2026-0719-03-02-08-01,1,2,ムーンベリル,トムキャット,0.25718647641778986,0.09645674474198969,0.16072973167580018,2.6663399962929817,1,99.47562633521072,99.47562633521072,1
2026-0719-03-02-08-02,1,2,クリスタルドレス,ピースフルマインド,0.27236509082555516,0.17507590989755417,0.09728918092800098,1.5556971315181503,1,97.35871042920957,97.35871042920957,1
2026-0719-03-02-08-03,1,2,ペプチドドリーム,シャルムグリーン,0.27191447028389604,0.17798346628894693,0.09393100399494911,1.527751290349953,1,97.14507671392504,97.14507671392504,1
2026-0719-03-02-08-03,7,8,ブラーヴジャン,チャチャット,0.10039426538015367,0.039215873757929794,0.061178391622223875,2.560041528077723,7,93.78520100990484,93.78520100990484,1
2026-0719-03-02-08-04,1,2,フェスティヴハート,デルマザオウ,0.23387938219678758,0.16040098166211417,0.07347840053467342,1.4580919628625229,1,95.39716449796077,95.39716449796077,1
2026-0719-03-02-08-04,2,3,デルマザオウ,ユニバーサルラヴ,0.16040098166211417,0.11393214816440989,0.04646883349770428,1.4078641037352109,2,91.16333268595844,91.16333268595844,1
2026-0719-03-02-08-04,3,4,ユニバーサルラヴ,ペタルズダンス,0.11393214816440989,0.06415277943602489,0.049779368728384996,1.7759503043516065,3,91.88191881918819,91.88191881918819,1
2026-0719-03-02-08-07,1,2,イントゥザウインド,キタノドンカルロ,0.26152333958045393,0.18799596040531658,0.07352737917513735,1.3911114846117618,1,95.41658574480482,95.41658574480482,1
2026-0719-03-02-08-07,2,3,キタノドンカルロ,チェイサー,0.18799596040531658,0.11474394575526982,0.07325201465004676,1.6383954653806432,2,95.35832200427268,95.35832200427268,1
2026-0719-03-02-08-09,1,2,ガラベイヤ,ヴァンヴィーヴ,0.22602869780602283,0.16357776992853196,0.062450927877490875,1.381781264683924,1,93.95999223150126,93.95999223150126,1
2026-0719-03-02-08-10,1,2,アロンズロッド,ルールーリマ,0.2770858835499243,0.17976982659188806,0.09731605695803625,1.5413369907674348,1,97.39755292289765,97.39755292289765,1
2026-0719-03-02-08-10,3,4,コスモイシュタル,クラヴァンス,0.1698882090308828,0.10581530717114677,0.06407290185973603,1.605516381066719,3,94.17362594678579,94.17362594678579,1
2026-0719-03-02-08-10,4,5,クラヴァンス,ヤマニンガラッシア,0.10581530717114677,0.05981691582042525,0.04599839135072153,1.7689863430741242,4,90.98854146436202,90.98854146436202,1
2026-0719-03-02-08-12,2,3,サムシングニュー,ヘルヴェティオス,0.17824883739018665,0.1259196654713442,0.052329171918842454,1.415575849276308,2,92.42571373082153,92.42571373082153,1
2026-0719-10-02-08-01,2,3,アウスヴァール,ニシノクードクール,0.1997388091824854,0.05714683442962642,0.14259197475285898,3.495185886953269,2,99.2619926199262,99.2619926199262,1
2026-0719-10-02-08-02,1,2,カルロット,ヒッグスボソン,0.28759553537487575,0.19753812326881104,0.09005741210606472,1.455898894936417,1,96.93144299864052,96.93144299864052,1
2026-0719-10-02-08-02,2,3,ヒッグスボソン,ナデシコザクラ,0.19753812326881104,0.13466112837207964,0.0628769948967314,1.4669275807863214,2,94.0182559720334,94.0182559720334,1
2026-0719-10-02-08-04,1,2,アラムシャピラス,ダンツウルス,0.35333513799117267,0.22535574850979534,0.12797938948137733,1.567899378328104,1,98.71819770829288,98.71819770829288,1
2026-0719-10-02-08-04,3,4,ブルーザー,ルクスディグニティ,0.18914001330023156,0.11011101826195649,0.07902899503827507,1.717721044503134,3,96.07690813750243,96.07690813750243,1
2026-0719-10-02-08-04,5,6,ホウオウモチーヴ,アクティブヘイロー,0.08285678056652117,0.02635355634197,0.05650322422455117,3.1440455129225033,5,93.04719362983104,93.04719362983104,1
2026-0719-10-02-08-06,2,3,フレアオブセンス,サトノライトニング,0.1881715143355843,0.05729938114747098,0.1308721331881133,3.284006049756256,2,98.8929889298893,98.8929889298893,1
2026-0719-10-02-08-07,3,4,ミライハーモニー,アーリントンロウ,0.17368396214569712,0.11653668739323199,0.05714727475246513,1.4903801200357787,3,93.26082734511556,93.26082734511556,1
2026-0719-10-02-08-08,4,5,ペルセポネ,ドラムメジャー,0.13716569413612234,0.08457668552613119,0.05258900860999115,1.6217908432193529,4,92.46455622450961,92.46455622450961,1
2026-0719-10-02-08-10,1,2,アレナパラシオ,ジューンエオス,0.13199990883511298,0.08775596714734764,0.04424394168776534,1.5041701792594577,1,90.52243154010488,90.52243154010488,1
2026-0719-10-02-08-11,1,2,ジョバンニ,ジーティーアダマン,0.17382283516088637,0.09499825423378225,0.07882458092710412,1.8297476786586397,1,96.05748689065838,96.05748689065838,1
2026-0719-10-02-08-12,2,3,ロングトールサリー,グラスベルグ,0.20275503709060072,0.11734333758734766,0.08541169950325306,1.7278785592720556,2,96.56243930860362,96.56243930860362,1
2026-0719-10-02-08-12,4,5,フレイムスター,ゼットエイト,0.10517829567261867,0.048315425901892965,0.05686286977072571,2.1769092108633954,4,93.16372111089531,93.16372111089531,1
2026-0725-01-01-01-01,1,2,カッサンドラ,カレンココナ,0.2547203200785016,0.0804455429672414,0.1742747771112602,3.166369579756922,1,99.70868129733928,99.70868129733928,1
2026-0725-01-01-01-02,5,6,ヴィヴィアンリーチ,コックニー,0.15329035482494757,0.10235377952554506,0.050936575299402514,1.4976521193014662,5,92.11497378131675,92.11497378131675,1
2026-0725-01-01-01-02,7,8,テイクケア,シガレス,0.09669616566447714,0.05115751839284127,0.04553864727163587,1.8901652914815414,7,90.8137502427656,90.8137502427656,1
2026-0725-01-01-01-03,3,4,ブルーフレア,メイショウシンガン,0.14020558963884383,0.06091519820247244,0.0792903914363714,2.3016520306282633,3,96.09632938434648,96.09632938434648,1
2026-0725-01-01-01-07,2,3,ジーティーエスピ,ニシノサリーナ,0.2638651567367582,0.19242566734163347,0.07143948939512473,1.3712575893957573,2,95.02816080792387,95.02816080792387,1
2026-0725-01-01-01-07,3,4,ニシノサリーナ,ハッピーラッキー,0.19242566734163347,0.10185250296787025,0.09057316437376321,1.8892581108422524,3,96.98970673917266,96.98970673917266,1
2026-0725-01-01-01-08,5,6,タイキルッジェーロ,リュミナーズ,0.09608117023971156,0.050483394130263544,0.04559777610944802,1.9032232656899208,5,90.85259273645369,90.85259273645369,1
2026-0725-01-01-01-09,5,6,ナムラヒナギク,ディヒターリーベ,0.16831716439884048,0.08125118405348902,0.08706598034535146,2.0715656806679204,5,96.6789667896679,96.6789667896679,1
2026-0725-01-01-01-10,4,5,バースライト,レイデラルース,0.14888620537487166,0.05105553145880056,0.09783067391607109,2.916162090977662,4,97.4558166634298,97.4558166634298,1
2026-0725-01-01-01-11,1,2,ロジケープ,アスクケンタッキー,0.2592395920494819,0.1715234783356778,0.08771611371380408,1.5113942100809103,1,96.75665177704408,96.75665177704408,1
2026-0725-01-01-01-12,1,2,セボンサデッセ,ベラジオワールド,0.2917023344828454,0.24887998350262122,0.04282235098022416,1.1720602451734459,1,90.09516410953583,90.09516410953583,1
2026-0725-01-01-01-12,2,3,ベラジオワールド,ハイクオリティ,0.24887998350262122,0.10766138243541297,0.14121860106720824,2.311692250951046,2,99.24257137308216,99.24257137308216,1
2026-0725-04-02-01-01,1,2,レゾルーティオ,ノシェリー,0.2141472388420643,0.12426128323802373,0.08988595560404057,1.7233625250100075,1,96.91202175179646,96.91202175179646,1
2026-0725-04-02-01-04,1,2,プリプリプリン,マナイアカラニ,0.2672765963790253,0.19727788047848482,0.06999871590054046,1.354822931647294,1,94.75626335210721,94.75626335210721,1
2026-0725-04-02-01-04,3,4,オレンジキャンパス,スノーランス,0.1846635385768561,0.10172265489295879,0.08294088368389732,1.815362947134783,3,96.27112060594291,96.27112060594291,1
2026-0725-04-02-01-05,1,2,キシダンチョウ,フィールドノート,0.2714004790264685,0.18440425629657523,0.0869962227298933,1.471769060416796,1,96.65954554282385,96.65954554282385,1
2026-0725-04-02-01-05,4,5,オルグジェシダ,カリーン,0.13783411509524604,0.09438750624144715,0.04344660885379889,1.4603004209334725,4,90.25053408428822,90.25053408428822,1
2026-0725-04-02-01-06,1,2,シャンソンドール,コルドンブルー,0.272613285020476,0.15722307542384212,0.11539020959663387,1.7339266789277898,1,98.31035152456788,98.31035152456788,1
2026-0725-04-02-01-07,1,2,コートアリシアン,ボンヌソワレ,0.2079232876376967,0.09676431911788645,0.11115896851981026,2.148759889318159,1,98.1549815498155,98.1549815498155,1
2026-0725-04-02-01-09,1,2,スコラーリ,パープルアドミラル,0.2180569918351211,0.1411063795818117,0.0769506122533094,1.545337584887113,1,95.76616818799766,95.76616818799766,1
2026-0725-04-02-01-10,3,4,バーヴァンシー,シェリーシュシュ,0.0830136995330224,0.03958501739103522,0.04342868214198718,2.0970989784590177,3,90.23111283744416,90.23111283744416,1
2026-0725-04-02-01-11,3,4,ノーブルラホーヤ,リオハリソンメリー,0.12086114156483946,0.042084563768812276,0.07877657779602718,2.871863950610945,3,96.03806564381433,96.03806564381433,1
2026-0725-04-02-01-12,1,2,タイセイフレッサ,クリールスル,0.21628111846693704,0.1725821795719256,0.04369893889501145,1.253206553558442,1,90.34764031850845,90.34764031850845,1
2026-0725-07-02-01-01,1,2,エルダークローネ,エコロメジャー,0.2733211205911667,0.17929793260554566,0.09402318798562104,1.5243963866135115,1,97.16449796076908,97.16449796076908,1
2026-0725-07-02-01-01,2,3,エコロメジャー,レッドネビュラ,0.17929793260554566,0.11906806400495615,0.060229868600589515,1.5058440237852735,2,93.62983103515245,93.62983103515245,1
2026-0725-07-02-01-03,1,2,コスモフィレンツェ,プレスバーン,0.3491886623674453,0.2962817193395501,0.05290694302789517,1.1785697178544512,1,92.5422412118858,92.5422412118858,1
2026-0725-07-02-01-03,2,3,プレスバーン,レッドブライトン,0.2962817193395501,0.15733047236331765,0.13895124697623246,1.8831807652325436,2,99.14546513886191,99.14546513886191,1
2026-0725-07-02-01-03,3,4,レッドブライトン,スマートエラン,0.15733047236331765,0.06060168198623889,0.09672879037707877,2.5961403579366564,3,97.30044668867741,97.30044668867741,1
