date,race_id,horse_id,horse_name,actual_rank,target,odds,win_odds,popularity,ranker_score,ranker_win_probability,prediction_rank,win_payout,model_train_end_date,evaluation_mode
2026-07-11,2026-0711-02-01-09-10,2022105443,モレポブラーノ,14,0,842.0,84.19999694824219,12,-1.3027232540196163,0.0249842592452475,12,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2021104217,ムチャスグラシアス,6,0,1381.0,138.10000610351562,14,-1.4523846420306965,0.0201749959518622,13,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-10,2022102995,フレッシュラン,13,0,1149.0,114.9000015258789,13,-1.5196012289419736,0.0183278235529058,14,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022101230,インパクトシー,7,0,35.0,3.5,1,0.9757020051112048,0.2362629960099573,1,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022104145,インヴォーグ,6,0,51.0,5.099999904632568,4,0.8560002035860945,0.1991270375747743,2,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022102982,ダンツファイター,2,0,48.0,4.800000190734863,3,0.8031526294840233,0.1846471056504486,3,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2021106193,ウイントレメンデス,9,0,119.0,11.899999618530272,6,0.2055354053505852,0.0786264042352423,4,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2021101485,カテリーナ,1,1,45.0,4.5,2,0.0789515087511802,0.0656195347057622,5,450.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2020103354,アイスグリーン,3,0,471.0,47.099998474121094,8,-0.0259817954631407,0.056484638513232,6,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022105777,ドゥカート,12,0,614.0,61.400001525878906,10,-0.1148495347268616,0.0497502158968121,7,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022103245,ミッキージュエリー,10,0,84.0,8.399999618530273,5,-0.2222215592241848,0.0426755517112728,8,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2022105801,ショウナンサムデイ,4,0,184.0,18.399999618530273,7,-0.4377297834463689,0.0313670288639127,9,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2019105462,ソリダリティ,13,0,734.0,73.4000015258789,11,-0.6754674200928084,0.0223344897637715,10,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2021105412,ウィープディライト,8,0,772.0,77.19999694824219,12,-0.9042891918848186,0.0161068373897671,11,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2021102256,ノーブルスカイ,11,0,778.0,77.80000305175781,13,-1.3185610289227954,0.0089122519564365,12,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-11,2020106966,ピンクジン,5,0,597.0,59.70000076293945,9,-1.3866739650570967,0.00808590772861,13,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2023100095,ビップムーラン,1,1,15.0,1.5,1,0.0574059883100834,0.5682381588565717,1,150.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2022103306,ワイドデコラシオン,2,0,44.0,4.400000095367432,2,-1.0754218008551746,0.1126420634824031,2,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2023100533,タイセイブルーム,5,0,91.0,9.100000381469728,3,-1.2352812369840076,0.0896438491826935,3,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2023105616,テーオーナタリー,6,0,125.0,12.5,5,-1.352341362018988,0.0758392401228413,4,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2021102550,メイショウハッブル,4,0,277.0,27.700000762939453,6,-1.5262970095127053,0.0591518443344307,5,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2021101891,スパークルジョイ,8,0,103.0,10.300000190734863,4,-1.7607145095135537,0.0423185543803767,6,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2021110162,ジュウオウ,7,0,514.0,51.400001525878906,8,-2.0167232992467317,0.0293560537377912,7,0.0,2026-06-30,monthly_walk_forward
2026-07-11,2026-0711-02-01-09-12,2022110062,レネネト,3,0,281.0,28.100000381469727,7,-2.193325884085069,0.0228102359028915,8,0.0,2026-06-30,monthly_walk_forward
