race_id,horse_name,actual_finish,odds,model_d_rank,model_e_rank,model_d_score,model_e_score,rank_change,last1_finish,last1_margin,last1_raw_performance,last1_adjusted_performance,hidden_strength_last1,max_hidden_strength_last3,max_strong_against_bias_last3,setup_improvement,last1_race_position_bias,last1_position_advantage
2026-0719-10-02-08-07,キョラムン,5,109.0,8,6,0.06567137610768999,0.06526938266708766,2,5,4.0,0.4576962834451217,0.4576962834451217,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-01-01-01-02,ライフイズアート,5,85.0,3,1,0.20158242011421812,0.22839202704321943,2,2,13.0,0.5186972483304122,0.5186972483304122,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-01-01-01-04,ビップジョワ,10,1025.0,11,9,0.03555294974753108,0.04551253175354594,2,5,4.0,0.45639327536813135,0.45639327536813135,0.0,0.0005787037037036924,0.0023148148148148064,-0.0,0.0,0.0
2026-0725-04-02-01-04,メイショウバリスタ,7,1288.0,13,11,0.01382352938651958,0.01399847907120701,2,11,20.0,0.2892379649414694,0.2892379649414694,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-04-02-01-06,ケイケイ,4,1319.0,15,13,0.018261094649255603,0.0162061212911134,2,9,14.0,0.28000033261148766,0.28000033261148766,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-04-02-01-07,ルミノメテオール,17,1934.0,17,15,0.014003126125640994,0.012023397408167916,2,16,11.0,0.2470655042097279,0.2470655042097279,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-04-02-01-11,マイエラ,12,779.0,15,13,0.010761426783685022,0.013857619037069583,2,16,24.0,0.20296345432818694,0.20296345432818694,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-04-02-01-11,アイファーアイドル,14,765.0,16,14,0.00976223139598922,0.012357454711182079,2,13,36.0,0.21252563048562517,0.21252563048562517,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-04-02-01-12,ルージュダリア,5,52.0,8,6,0.07282501061879824,0.0770729515607078,2,10,12.0,0.3600024576849414,0.3600024576849414,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-04-02-01-12,ジョワイユノエル,2,418.0,12,10,0.057199207171700815,0.05652645980992215,2,9,10.0,0.36735788483123,0.36735788483123,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-07-02-01-03,チュオンソン,6,469.0,7,5,0.036408878882482246,0.05118912628248303,2,8,10.0,0.3807518464512093,0.3807518464512093,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0725-07-02-01-06,ヤマニンバロネス,12,423.0,11,9,0.04403231726853556,0.042930703295807296,2,8,5.0,0.36936184546630085,0.36936184546630085,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0726-01-01-02-01,シンゼンノト,3,189.0,9,7,0.029839709701128845,0.02810729740940813,2,7,20.0,0.3186963450231109,0.3186963450231109,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0726-01-01-02-03,ユナダイヤ,11,546.0,9,7,0.042631811118916944,0.051801672917921045,2,5,7.0,0.44943177259885947,0.44943177259885947,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0726-04-02-02-04,スーパーハイウェイ,12,860.0,14,12,0.016329394071594117,0.01862947769503722,2,10,8.0,0.34427410995248264,0.34427410995248264,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0726-04-02-02-07,エルトンバローズ,5,89.0,5,3,0.0848093412431033,0.09414466938601994,2,1,0.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0
