condition,month,total_races,bets,bet_rate,wins,hit_rate,average_predicted_probability,actual_win_rate,average_odds,average_popularity,average_ev,total_stake,total_payout,win_roi,profit
EV >= 1.1,2026-05,206,44,0.21359223300970873,6,0.13636363636363635,0.2149756221147251,0.13636363636363635,11.477272645993667,4.5227272727272725,2.011592548534531,4400.0,4150.0,94.31818181818183,-250.0
EV >= 1.1,2026-06,135,38,0.2814814814814815,6,0.15789473684210525,0.2871734482698347,0.15789473684210525,6.607894746880782,3.263157894736842,1.60643653548739,3800.0,2580.0,67.89473684210526,-1220.0
EV >= 1.1,2026-07,144,40,0.2777777777777778,0,0,0.27323852377521873,0,6.662500029802322,3.35,1.6995002068052139,4000.0,0.0,0.0,-4000.0
EV >= 1.1,2026-08,75,15,0.2,1,0.06666666666666667,0.3114910679433414,0.06666666666666667,5.346666638056437,2.533333333333333,1.6336251176602639,1500.0,440.0,29.333333333333332,-1060.0
EV >= 1.2,2025-09,80,13,0.1625,1,0.07692307692307693,0.301181226250352,0.07692307692307693,7.37692301089947,3.8461538461538463,1.844639957229803,1300.0,500.0,38.46153846153847,-800.0
EV >= 1.2,2025-10,92,20,0.21739130434782608,2,0.1,0.23344898434050446,0.1,10.395000040531158,4.7,2.2955877748134466,2000.0,2420.0,121.0,420.0
EV >= 1.2,2025-11,123,32,0.2601626016260163,2,0.0625,0.2676984107400003,0.0625,14.834375038743019,4.3125,2.8089251181283896,3200.0,1690.0,52.81249999999999,-1510.0
EV >= 1.2,2025-12,99,18,0.18181818181818182,1,0.05555555555555555,0.20695150779807955,0.05555555555555555,13.78333330154419,4.944444444444445,2.231689932805963,1800.0,730.0,40.55555555555556,-1070.0
EV >= 1.2,2026-01,160,22,0.1375,1,0.045454545454545456,0.23743330596362217,0.045454545454545456,8.745454506440597,4.409090909090909,1.7618749754095322,2200.0,670.0,30.454545454545457,-1530.0
EV >= 1.2,2026-02,171,33,0.19298245614035087,4,0.12121212121212122,0.22001940438938827,0.12121212121212122,10.16060604471149,4.181818181818182,1.9287342655209418,3300.0,2850.0,86.36363636363636,-450.0
EV >= 1.2,2026-03,182,23,0.12637362637362637,1,0.043478260869565216,0.239978365194908,0.043478260869565216,7.760869565217392,4.173913043478261,1.5639748032544991,2300.0,360.0,15.65217391304348,-1940.0
EV >= 1.2,2026-04,160,25,0.15625,1,0.04,0.21990285262761874,0.04,7.791999969482422,4.16,1.5835847894839035,2500.0,640.0,25.6,-1860.0
EV >= 1.2,2026-05,206,37,0.1796116504854369,4,0.10810810810810811,0.2026906428687691,0.10810810810810811,12.829729627918553,4.945945945945946,2.176385519864444,3700.0,3530.0,95.4054054054054,-170.0
EV >= 1.2,2026-06,135,27,0.2,3,0.1111111111111111,0.2607578340884303,0.1111111111111111,7.899999989403619,3.814814814814815,1.7941649093773981,2700.0,1530.0,56.666666666666664,-1170.0
EV >= 1.2,2026-07,144,31,0.2152777777777778,0,0,0.271456719388523,0,7.235483915575089,3.7096774193548385,1.854920712051523,3100.0,0.0,0.0,-3100.0
EV >= 1.2,2026-08,75,9,0.12,1,0.1111111111111111,0.32475183031381905,0.1111111111111111,6.088888857099745,2.888888888888889,1.96528669081055,900.0,440.0,48.888888888888886,-460.0
