race_id,horse_id,actual_rank,odds,CA_rank,CB_rank,CA_probability,CB_probability,rank_change
2026-0704-03-02-03-08,2022105863,4,30.0,1,1,0.22778702258056566,0.21672379180265394,0
2026-0704-03-02-03-08,2022104987,9,70.0,3,2,0.18970722676448823,0.19201458170779973,1
2026-0704-03-02-03-08,2023103931,10,62.0,2,3,0.1932493251098867,0.17553892793091172,-1
2026-0704-03-02-03-08,2022106785,6,152.0,4,4,0.11385085758947461,0.11283484627694314,0
2026-0704-03-02-03-08,2022104311,3,89.0,5,5,0.11218609853292091,0.11032140653351644,0
2026-0704-03-02-03-08,2023100964,2,173.0,6,6,0.0896447637282676,0.10599211811307267,0
2026-0704-03-02-03-08,2023104309,11,862.0,9,7,0.05294149235321544,0.06026696147949239,2
2026-0704-03-02-03-08,2023102646,8,194.0,8,8,0.05492599482602153,0.05900442151986055,0
2026-0704-03-02-03-08,2020103389,14,230.0,7,9,0.05881671705011581,0.056858782927406995,-2
2026-0704-03-02-03-08,2023102405,13,372.0,11,10,0.04555766424835568,0.04648876226784093,1
2026-0704-03-02-03-08,2023102659,1,47.0,10,11,0.048152912167218946,0.046179598131951945,-1
2026-0704-03-02-03-08,2022104881,5,774.0,12,12,0.039745743572997164,0.03681044311381357,0
2026-0704-03-02-03-08,2021102969,12,2396.0,13,13,0.016338134447339232,0.01662744062832938,0
2026-0704-03-02-03-08,2022101438,7,1232.0,14,14,0.013308323100757037,0.01491785196149231,0
2026-0704-03-02-03-08,2022102846,15,506.0,15,15,0.010767617507691108,0.010779779116552072,0
2026-0704-03-02-03-09,2023107256,6,15.0,1,1,0.2560894431145643,0.2463985953486906,0
2026-0704-03-02-03-09,2021102203,3,60.0,2,2,0.19605017029530358,0.20079795660208252,0
2026-0704-03-02-03-09,2022106792,4,55.0,3,3,0.14592124850250535,0.15590653372529645,0
2026-0704-03-02-03-09,2022103308,2,112.0,4,4,0.09046106295882171,0.1008105045028236,0
2026-0704-03-02-03-09,2022106770,7,1096.0,5,5,0.06252443023918923,0.07191022818616415,0
2026-0704-03-02-03-09,2023106426,8,284.0,6,6,0.0541012875871169,0.049120494636268365,0
2026-0704-03-02-03-09,2022104187,1,159.0,7,7,0.042060950617191326,0.0425069846777071,0
2026-0704-03-02-03-09,2022104851,5,928.0,10,8,0.021801008914738285,0.03055755459835051,2
2026-0704-03-02-03-09,2021104820,9,350.0,9,9,0.02625503123469228,0.028436395777427015,0
2026-0704-03-02-03-09,2022107202,10,293.0,8,10,0.026585733872316154,0.02521456919196426,-2
2026-0704-03-02-03-10,2022105847,1,27.0,1,1,0.1413317967633638,0.11736871811860261,0
2026-0704-03-02-03-10,2022104897,3,76.0,3,2,0.08799670141049673,0.09257609261017896,1
2026-0704-03-02-03-10,2022105030,10,40.0,2,3,0.0891851606612575,0.08415485156701878,-1
2026-0704-03-02-03-10,2021106521,7,94.0,4,4,0.0647531025782093,0.06816921148642444,0
2026-0704-03-02-03-10,2022102700,5,79.0,5,5,0.06449074672093956,0.06656804252630763,0
2026-0704-03-02-03-10,2020105147,2,73.0,6,6,0.034611192822905236,0.03128052545893137,0
2026-0704-03-02-03-10,2021101733,9,316.0,8,7,0.028870593176207018,0.027189086129062047,1
2026-0704-03-02-03-10,2020101655,4,160.0,7,8,0.03198265448246342,0.027147541088704045,-1
2026-0704-03-02-03-10,2016100126,6,377.0,9,9,0.021165575498942924,0.0215208558784421,0
2026-0704-03-02-03-10,2021106192,8,577.0,10,10,0.016966127970817917,0.016260351682764154,0
2026-0704-03-02-03-11,2022103684,1,16.0,1,1,0.3102550344028422,0.29295293550259827,0
2026-0704-03-02-03-11,2021100338,4,69.0,3,2,0.10200189973231777,0.10978281726337631,1
2026-0704-03-02-03-11,2022110077,2,63.0,2,3,0.1129666024788254,0.10752837262387951,-1
2026-0704-03-02-03-11,2022102790,5,92.0,4,4,0.08593555845344945,0.09100799698785114,0
2026-0704-03-02-03-11,2022100418,3,264.0,5,5,0.06423677206161246,0.0633632976104422,0
2026-0704-03-02-03-11,2021110057,6,220.0,6,6,0.04153465952940165,0.03990303498289654,0
2026-0704-03-02-03-11,2021103204,9,134.0,7,7,0.03532481997583179,0.03639938286075901,0
2026-0704-03-02-03-11,2020103088,10,455.0,9,8,0.032650839145819906,0.034452168157214885,1
2026-0704-03-02-03-11,2020106908,7,953.0,8,9,0.03405287823031968,0.03341040026064023,-1
2026-0704-03-02-03-11,2019102102,8,278.0,10,10,0.020177576913809878,0.021088179142216234,0
2026-0704-03-02-03-12,2023102694,4,33.0,1,1,0.23599725603107394,0.23312999718784125,0
2026-0704-03-02-03-12,2022100075,15,87.0,2,2,0.12109913804484625,0.11644431096042515,0
2026-0704-03-02-03-12,2023106372,5,65.0,3,3,0.0825385829265051,0.07553456010507555,0
2026-0704-03-02-03-12,2022105279,9,121.0,4,4,0.0703919146102916,0.06982882085814215,0
2026-0704-03-02-03-12,2023105325,10,44.0,6,5,0.06111187088154701,0.05895461240679325,1
2026-0704-03-02-03-12,2021105956,3,150.0,7,6,0.05621614505569179,0.05817337669594851,1
2026-0704-03-02-03-12,2021105747,2,163.0,8,7,0.05605488635147274,0.05657250655399538,1
2026-0704-03-02-03-12,2023101558,1,123.0,5,8,0.06584573782684677,0.05418396324992274,-3
2026-0704-03-02-03-12,2023100421,14,896.0,10,9,0.04182732472024653,0.04707609097826567,1
2026-0704-03-02-03-12,2023103036,6,104.0,9,10,0.04864739790609776,0.04469983128565364,-1
2026-0704-03-02-03-12,2020100759,8,596.0,11,11,0.03405583897877755,0.039902752513477364,0
2026-0704-03-02-03-12,2021102396,13,1226.0,12,12,0.02968733499258741,0.03374344059613254,0
2026-0704-03-02-03-12,2020100084,7,1104.0,14,13,0.021099278470852016,0.024860230778225967,1
2026-0704-03-02-03-12,2022101312,12,1381.0,13,14,0.021427105895897698,0.02173853979631668,-1
2026-0704-03-02-03-12,2022105000,11,881.0,15,15,0.009006738788697415,0.0105455327151593,0
2026-0704-03-02-03-12,2021106347,16,2235.0,16,16,0.007720679270052609,0.007273778090360785,0
2026-0704-10-02-03-01,2022101139,5,14.0,1,1,0.27472913642633706,0.26089446686063245,0
2026-0704-10-02-03-01,2021103725,4,176.0,3,2,0.083048851984518,0.09040705580274508,1
2026-0704-10-02-03-01,2020109148,6,124.0,2,3,0.0837268583716449,0.08821365405639227,-1
2026-0704-10-02-03-01,2021110146,2,157.0,4,4,0.06945336420863053,0.07689522437331628,0
2026-0704-10-02-03-01,2021105489,8,253.0,6,5,0.04510194125336629,0.0508701778909637,1
2026-0704-10-02-03-01,2019103634,10,199.0,7,6,0.04235307106244476,0.04860789040142905,1
2026-0704-10-02-03-01,2022103255,3,65.0,8,7,0.04144383338119914,0.04354736124089928,1
2026-0704-10-02-03-01,2022100481,1,228.0,5,8,0.05247489514726173,0.03869237922532306,-3
2026-0704-10-02-03-01,2021106840,9,267.0,9,9,0.018240027307837185,0.017534654445576954,0
2026-0704-10-02-03-01,2021107224,7,808.0,10,10,0.014905173519357351,0.014361825124271085,0
2026-0704-10-02-03-01,2022103517,12,1024.0,11,11,0.012346140640642997,0.01124870623596902,0
2026-0704-10-02-03-01,2022100727,11,1421.0,12,12,0.008681741160696614,0.009625715247555691,0
2026-0704-10-02-03-02,2023102639,6,64.0,1,1,0.0892985140180335,0.08108284820821719,0
2026-0704-10-02-03-02,2023102920,7,30.0,2,2,0.06865405047582154,0.07051923383164324,0
2026-0704-10-02-03-02,2023106618,9,51.0,3,3,0.04976118813085504,0.05347543862188208,0
2026-0704-10-02-03-02,2023104839,5,74.0,4,4,0.0447207838982296,0.0430300708858125,0
2026-0704-10-02-03-02,2023103159,10,312.0,5,5,0.03509559440960423,0.041171874571457434,0
2026-0704-10-02-03-02,2023103916,2,524.0,6,6,0.02400406668196109,0.02772050657900277,0
2026-0704-10-02-03-02,2023105788,15,150.0,7,7,0.020898036823031988,0.022194258013940968,0
2026-0704-10-02-03-02,2023109108,8,1342.0,8,8,0.019899517571821967,0.02111556572354562,0
2026-0704-10-02-03-02,2023101440,16,712.0,9,9,0.019222961944644904,0.018510577236370937,0
2026-0704-10-02-03-02,2023101380,13,1144.0,10,10,0.018054465362763006,0.01785871751285789,0
2026-0704-10-02-03-02,2023100798,17,136.0,11,11,0.01663885870694139,0.016939036431187854,0
2026-0704-10-02-03-02,2023103353,3,160.0,12,12,0.013578574725510441,0.013138062484928733,0
2026-0704-10-02-03-02,2023107123,14,242.0,14,13,0.010599951067021553,0.012265161366947941,1
2026-0704-10-02-03-02,2023102561,11,428.0,13,14,0.011642428124667164,0.011528267421774955,-1
2026-0704-10-02-03-02,2023103777,18,932.0,17,15,0.007925213358407896,0.009644128921374206,2
2026-0704-10-02-03-02,2023104703,1,162.0,15,16,0.008529123986595227,0.009580298395667116,-1
2026-0704-10-02-03-02,2023101055,12,1538.0,16,17,0.008168711384749533,0.008341084749588154,-1
2026-0704-10-02-03-02,2023105890,3,613.0,18,18,0.006211898707449291,0.006829126328893331,0
2026-0704-10-02-03-03,2023107221,2,34.0,1,1,0.25860130282241744,0.2540805319995278,0
2026-0704-10-02-03-03,2023105571,1,21.0,2,2,0.18986076990006387,0.18491045454142266,0
2026-0704-10-02-03-03,2023103743,4,118.0,3,3,0.08872636941828992,0.08316101295986349,0
2026-0704-10-02-03-03,2023104905,3,147.0,5,4,0.057981326530199856,0.05981223801005563,1
2026-0704-10-02-03-03,2023105234,11,257.0,4,5,0.061344560743559866,0.05469800223455793,-1
2026-0704-10-02-03-03,2023107272,10,202.0,6,6,0.0421054281926942,0.04207401228357888,0
2026-0704-10-02-03-03,2023103457,16,324.0,7,7,0.029451918437618727,0.033066529113067324,0
2026-0704-10-02-03-03,2023102718,7,542.0,8,8,0.026881259552050573,0.024023625518759046,0
2026-0704-10-02-03-03,2023103679,5,136.0,9,9,0.019713488668889306,0.02189334991038418,0
2026-0704-10-02-03-03,2023106487,13,188.0,10,10,0.01719591197449436,0.01576852056236868,0
2026-0704-10-02-03-03,2023102724,8,745.0,12,11,0.015058833556069746,0.01560466762412133,1
2026-0704-10-02-03-03,2023101934,6,444.0,11,12,0.01599041148204596,0.015188677084481142,-1
2026-0704-10-02-03-03,2023100983,9,1275.0,13,13,0.013430212512735606,0.013169512100981644,0
2026-0704-10-02-03-03,2023105349,12,2410.0,14,14,0.010274985735477004,0.010980206880252516,0
2026-0704-10-02-03-03,2023106911,15,666.0,15,15,0.008864306999892345,0.00904420508550988,0
2026-0704-10-02-03-03,2023106361,14,1552.0,16,16,0.008340741255770697,0.00872380030074586,0
2026-0704-10-02-03-04,2023101702,2,20.0,1,1,0.3241785365202218,0.31941948541722065,0
2026-0704-10-02-03-04,2023100233,7,58.0,2,2,0.23766183856564402,0.2452736625185557,0
2026-0704-10-02-03-04,2023100989,1,37.0,3,3,0.1856854223680189,0.1751962259075653,0
2026-0704-10-02-03-04,2023107040,14,188.0,4,4,0.1075757264928646,0.12162033133680782,0
2026-0704-10-02-03-04,2023100580,10,272.0,5,5,0.05809362999311144,0.0583035409027433,0
2026-0704-10-02-03-04,2023106819,13,314.0,6,6,0.04697247061472779,0.04709653547837705,0
2026-0704-10-02-03-04,2023105313,16,645.0,7,7,0.04697247061472779,0.04709653547837705,0
2026-0704-10-02-03-04,2023101363,15,2732.0,8,8,0.04697247061472779,0.04709653547837705,0
2026-0704-10-02-03-04,2023100275,11,143.0,9,9,0.03095148549278029,0.02933875317766235,0
2026-0704-10-02-03-04,2023104979,3,384.0,10,10,0.030662250049068925,0.028512480425502678,0
2026-0704-10-02-03-04,2023103819,9,631.0,11,11,0.01981022730810866,0.018280577677155522,0
2026-0704-10-02-03-04,2023103868,4,242.0,12,12,0.017014262386072083,0.018244016285395834,0
2026-0704-10-02-03-04,2023104337,8,927.0,13,13,0.013191761029948167,0.014886448380876797,0
2026-0704-10-02-03-04,2023100864,5,2820.0,14,14,0.012142983848106576,0.013822130644681067,0
2026-0704-10-02-03-04,2023105121,12,2154.0,15,15,0.01157820211333475,0.01221661359875296,0
2026-0704-10-02-03-04,2023104048,6,1943.0,16,16,0.009252315161176496,0.011339930716384087,0
2026-0704-10-02-03-05,2024105595,4,85.0,1,1,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024106888,2,88.0,2,2,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024100690,1,133.0,3,3,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024102341,7,576.0,4,4,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024103210,12,2813.0,5,5,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024106299,3,202.0,6,6,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024105858,6,509.0,7,7,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024100140,13,1802.0,8,8,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024101223,10,470.0,9,9,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024103672,9,14.0,10,10,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024108132,5,1371.0,11,11,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024101749,8,82.0,12,12,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-05,2024100628,11,331.0,13,13,0.07446945090328476,0.07498610280967667,0
2026-0704-10-02-03-06,2023102006,13,47.0,1,1,0.24043249289425525,0.22676031819888576,0
2026-0704-10-02-03-06,2023100715,1,37.0,2,2,0.17485869622852152,0.16860183932251552,0
2026-0704-10-02-03-06,2023103163,4,57.0,3,3,0.14543235301872476,0.14537708672744754,0
2026-0704-10-02-03-06,2023105124,3,151.0,4,4,0.14237802978435093,0.13395585585847214,0
2026-0704-10-02-03-06,2023102580,5,51.0,5,5,0.12794860906260844,0.1206638038450981,0
2026-0704-10-02-03-06,2023104887,15,72.0,6,6,0.10266823799895045,0.09933712073654914,0
2026-0704-10-02-03-06,2023105112,14,298.0,7,7,0.07862268532955283,0.07932422814622671,0
2026-0704-10-02-03-06,2023110018,12,217.0,8,8,0.06937649949004261,0.07797484038219567,0
2026-0704-10-02-03-06,2023103168,2,305.0,9,9,0.05307138233991153,0.04263400445067578,0
2026-0704-10-02-03-06,2023107528,6,615.0,10,10,0.042317753983619213,0.0360962650550541,0
2026-0704-10-02-03-06,2023104937,9,450.0,12,11,0.02219253458021982,0.0253244338831065,1
2026-0704-10-02-03-06,2023101491,10,821.0,11,12,0.02577182182883802,0.023361660373479514,-1
2026-0704-10-02-03-06,2023101883,11,2713.0,13,13,0.01415028775397115,0.014860934522496703,0
2026-0704-10-02-03-06,2023109054,7,1635.0,14,14,0.012132026939266778,0.012223057232088365,0
2026-0704-10-02-03-06,2023104391,16,493.0,15,15,0.00970506523711922,0.009027721698245944,0
2026-0704-10-02-03-06,2023110009,8,1604.0,16,16,0.007587021660432978,0.008358312070131964,0
2026-0704-10-02-03-07,2023106873,9,57.0,1,1,0.2541179172291241,0.2532878763186747,0
2026-0704-10-02-03-07,2023101582,1,45.0,2,2,0.18512900602693091,0.17898927399354153,0
2026-0704-10-02-03-07,2023101840,3,83.0,3,3,0.17763178871683316,0.1784824073642353,0
2026-0704-10-02-03-07,2023105281,12,26.0,4,4,0.15419114591888924,0.1564722014064165,0
2026-0704-10-02-03-07,2023104075,4,228.0,5,5,0.11537762291629282,0.13272999571881663,0
2026-0704-10-02-03-07,2023103488,2,78.0,6,6,0.11524160437356774,0.11850132739842983,0
