race_id,date,racecourse,surface,distance,class_code,race_class_label,race_class_score,top1_horse_id,top1_horse_name,top1_popularity,top1_popularity_band,top1_odds,top1_probability,p2_probability,p3_probability,gap_1_2,gap_2_3,gap_1_3,ratio_1_2,top1_actual_rank,top1_is_win,top1_is_place,top1_win_payout,top1_place_payout,market_probability,edge,expected_value
2026-0704-10-02-03-04,2026-07-04,小倉,芝,1700.0,grade:unknown|condition:12,UNKNOWN,0,2023101702,マーゴットガイア,1,1番人気,20.0,0.31941948541722065,0.2452736625185557,0.1751962259075653,0.07414582289866495,0.07007743661099039,0.14422325950965534,1.3022983476387546,2,0,1,0.0,120.0,0.05,0.26941948541722066,6.3883897083444126
2026-0704-10-02-03-05,2026-07-04,小倉,芝,1200.0,grade:unknown|condition:11,UNKNOWN,0,2024105595,ココモフィーバー,3,2〜3番人気,85.0,0.07498610280967667,0.07498610280967667,0.07498610280967667,0.0,0.0,0.0,1.0,4,0,0,0.0,0.0,0.011764705882352941,0.06322139692732373,6.373818738822517
2026-0704-10-02-03-06,2026-07-04,小倉,芝,1700.0,grade:unknown|condition:12,UNKNOWN,0,2023102006,ピコオーバル,2,2〜3番人気,47.0,0.22676031819888576,0.16860183932251552,0.14537708672744754,0.05815847887637024,0.023224752595067982,0.08138323147143822,1.3449456963818758,13,0,0,0.0,0.0,0.02127659574468085,0.2054837224542049,10.65773495534763
2026-0704-10-02-03-07,2026-07-04,小倉,芝,1800.0,grade:unknown|condition:12,UNKNOWN,0,2023106873,ホワイトフレイムス,3,2〜3番人気,57.0,0.2532878763186747,0.17898927399354153,0.1784824073642353,0.07429860232513319,0.0005068666293062407,0.07480546895443943,1.4151008642440446,9,0,0,0.0,0.0,0.017543859649122806,0.23574401666955191,14.437408950164459
2026-0704-10-02-03-08,2026-07-04,小倉,芝,1000.0,grade:unknown|condition:13,UNKNOWN,0,2023110106,ブルーマッキンジー,1,1番人気,16.0,0.2812471212764924,0.18263916721939924,0.17338926898697857,0.09860795405709313,0.009249898232420672,0.1078578522895138,1.5399058458180452,1,1,1,160.0,110.0,0.0625,0.21874712127649237,4.499953940423878
2026-0704-10-02-03-09,2026-07-04,小倉,芝,1200.0,grade:E|condition:13,UNKNOWN,0,2023110055,グッドピース,1,1番人気,23.0,0.2099215095831575,0.09227438141722952,0.06277966623768348,0.11764712816592798,0.029494715179546035,0.14714184334547403,2.2749706512143666,1,1,1,230.0,130.0,0.043478260869565216,0.16644324871359228,4.828194720412623
2026-0704-10-02-03-10,2026-07-04,小倉,芝,1000.0,grade:E|condition:13,UNKNOWN,0,2022102427,パールフロント,4,4〜6番人気,98.0,0.13267451154837742,0.11312139044944117,0.08495824778847491,0.019553121098936255,0.028163142660966256,0.04771626375990251,1.1728507846416136,2,0,1,0.0,200.0,0.01020408163265306,0.12247042991572436,13.002102131740987
2026-0704-10-02-03-11,2026-07-04,小倉,芝,1800.0,grade:E|condition:13,UNKNOWN,0,2023101449,サウンドムーブ,1,1番人気,22.0,0.28269128434539625,0.2606753870370965,0.10286977866295802,0.02201589730829978,0.15780560837413846,0.17982150568243824,1.0844571386602246,2,0,1,0.0,120.0,0.045454545454545456,0.23723673889085078,6.219208255598717
2026-0704-10-02-03-12,2026-07-04,小倉,芝,1200.0,grade:unknown|condition:13,UNKNOWN,0,2023107269,ムーンリットアイル,1,1番人気,26.0,0.21868693918224255,0.17665451781174968,0.09709790458691732,0.04203242137049287,0.07955661322483236,0.12158903459532523,1.2379357283988872,2,0,1,0.0,140.0,0.038461538461538464,0.1802254007207041,5.685860418738306
2026-0705-02-01-08-01,2026-07-05,函館,芝,1200.0,grade:unknown|condition:11,UNKNOWN,0,2024100652,コックニー,1,1番人気,18.0,0.23961434370651985,0.2195334655921237,0.20247883861573432,0.020080878114396156,0.017054626976389375,0.03713550509078553,1.0914706924533542,8,0,0,0.0,0.0,0.05555555555555555,0.1840587881509643,4.313058186717357
2026-0705-02-01-08-02,2026-07-05,函館,芝,1000.0,grade:unknown|condition:12,UNKNOWN,0,2023105059,グレイトソン,1,1番人気,18.0,0.24803366646934344,0.14057130124299966,0.0720176176699534,0.10746236522634378,0.06855368357304625,0.17601604879939003,1.7644687377587702,1,1,1,180.0,110.0,0.05555555555555555,0.1924781109137879,4.4646059964481815
